[     ?] <DBM> Starting test: SoD/AQ40/ThreeBugs/Hardmode
[  0.00] <DBM> Timewarp >= 10, disabling sounds
[  0.00] <DBM> DBM was used in test mode with time warping in the current session, it is recommended to reload your UI prior to using DBM in a real boss fight. Everything should still work as expected, but no gurantees!
[  0.00] <DBM> 40 Player - Silithid Royalty engaged. Good luck and have fun! :)
[ 12.90] <Silithid Royalty> |cffffb200[Special Warning]  |T0:12:12|t Great Heal - interrupt Princess Yauj! |T0:12:12|t |r
[ 16.13] <Silithid Royalty>  |T0:12:12|t |cfff2f200Fear|r |T0:12:12|t 
[ 24.23] <Silithid Royalty> |cffffb200[Special Warning]  |T0:12:12|t Great Heal - interrupt Princess Yauj! |T0:12:12|t |r
[ 31.30] <AQ40 Trash> |cffffb200[Special Warning]  |T136116:12:12|t Exploding ghosts - dodge |T136116:12:12|t |r
[ 32.33] <Silithid Royalty>  |T0:12:12|t |cfff2f200Toxic Volley|r |T0:12:12|t 
[ 35.60] <Silithid Royalty> |cffffb200[Special Warning]  |T0:12:12|t Great Heal - interrupt Princess Yauj! |T0:12:12|t |r
[ 43.70] <Silithid Royalty>  |T0:12:12|t |cfff2f200Toxic Volley|r |T0:12:12|t 
[ 46.93] <Silithid Royalty> |cffffb200[Special Warning]  |T0:12:12|t Great Heal - interrupt Princess Yauj! |T0:12:12|t |r
[ 50.17] <Silithid Royalty>  |T0:12:12|t |cfff2f200Fear|r |T0:12:12|t 
[ 59.90] <Silithid Royalty> |cffffb200[Special Warning]  |T0:12:12|t Great Heal - interrupt Princess Yauj! |T0:12:12|t |r
[ 61.30] <AQ40 Trash> |cffffb200[Special Warning]  |T136116:12:12|t Exploding ghosts - dodge |T136116:12:12|t |r
[ 63.13] <Silithid Royalty>  |T0:12:12|t |cfff2f200Toxic Volley|r |T0:12:12|t 
[ 71.23] <Silithid Royalty> |cffffb200[Special Warning]  |T0:12:12|t Great Heal - interrupt Princess Yauj! |T0:12:12|t |r
[ 77.73] <Silithid Royalty>  |T0:12:12|t |cfff2f200Toxic Volley|r |T0:12:12|t 
[ 80.97] <Silithid Royalty>  |T0:12:12|t |cfff2f200Fear|r |T0:12:12|t 
[ 84.20] <Silithid Royalty> |cffffb200[Special Warning]  |T0:12:12|t Great Heal - interrupt Princess Yauj! |T0:12:12|t |r
[ 91.27] <AQ40 Trash> |cffffb200[Special Warning]  |T136116:12:12|t Exploding ghosts - dodge |T136116:12:12|t |r
[ 92.33] <Silithid Royalty>  |T0:12:12|t |cfff2f200Toxic Volley|r |T0:12:12|t 
[121.27] <AQ40 Trash> |cffffb200[Special Warning]  |T136116:12:12|t Exploding ghosts - dodge |T136116:12:12|t |r
[121.47] <Silithid Royalty>  |T0:12:12|t |cfff2f200Toxic Volley|r |T0:12:12|t 
[142.50] <Silithid Royalty>  |T0:12:12|t |cfff2f200Toxic Volley|r |T0:12:12|t 
[151.27] <AQ40 Trash> |cffffb200[Special Warning]  |T136116:12:12|t Exploding ghosts - dodge |T136116:12:12|t |r
[155.50] <Silithid Royalty>  |T0:12:12|t |cfff2f200Toxic Volley|r |T0:12:12|t 
[168.43] <Silithid Royalty>  |T0:12:12|t |cfff2f200Toxic Volley|r |T0:12:12|t 
[181.27] <AQ40 Trash> |cffffb200[Special Warning]  |T136116:12:12|t Exploding ghosts - dodge |T136116:12:12|t |r
[187.83] <Silithid Royalty>  |T0:12:12|t |cfff2f200Toxic Volley|r |T0:12:12|t 
[207.27] <Silithid Royalty>  |T0:12:12|t |cfff2f200Toxic Volley|r |T0:12:12|t 
[211.30] <AQ40 Trash> |cffffb200[Special Warning]  |T136116:12:12|t Exploding ghosts - dodge |T136116:12:12|t |r
[226.70] <Silithid Royalty>  |T0:12:12|t |cfff2f200Toxic Volley|r |T0:12:12|t 
[241.27] <AQ40 Trash> |cffffb200[Special Warning]  |T136116:12:12|t Exploding ghosts - dodge |T136116:12:12|t |r
[249.33] <Silithid Royalty>  |T0:12:12|t |cfff2f200Toxic Volley|r |T0:12:12|t 
[260.70] <Silithid Royalty>  |T0:12:12|t |cfff2f200Toxic Volley|r |T0:12:12|t 
[271.27] <AQ40 Trash> |cffffb200[Special Warning]  |T136116:12:12|t Exploding ghosts - dodge |T136116:12:12|t |r
[283.37] <Silithid Royalty>  |T0:12:12|t |cfff2f200Toxic Volley|r |T0:12:12|t 
[301.27] <AQ40 Trash> |cffffb200[Special Warning]  |T136116:12:12|t Exploding ghosts - dodge |T136116:12:12|t |r
[309.37] <DBM> Warning: incomplete trace of AntiSpam
[310.37] <DBM> 40 Player - Silithid Royalty down after 5 |4minute:minutes; and 9.36 |4second:seconds;!
[312.47] <DBM> Test playback for test SoD/AQ40/ThreeBugs/Hardmode finished.
